,binary_search_lcs,brute_force_lcs,dynamic_lcs,exp_search_lcs,functional_lcs,iterative_lcs,recursive_lcs,short_hi_lcs,short_lo_lcs,suffix_search_lcs,suffix_tree_lcs
0,1.2000005333335704e-05,1.0222226765434118e-05,7.55555891358174e-06,1.377778390123729e-05,2.9333346370376163e-05,7.111114271606343e-06,4.000001777778568e-06,8.888892839507929e-06,4.444446419753964e-06,0.0007364447717532319,7.777781234569437e-05
10,2.6222233876548388e-05,3.466668207408092e-05,2.222223209876982e-05,2.9333346370376163e-05,0.00018177785856793714,1.6000007111114272e-05,0.12901427956190203,4.222224098766266e-05,1.733334103704046e-05,0.0006462225094322264,0.00013866672829632368
20,3.511112671605631e-05,8.533337125927612e-05,5.911113738272773e-05,3.288890350617934e-05,0.000570666920296409,2.1777787456794424e-05,,0.00010177782301236578,2.222223209876982e-05,0.0006724447433087748,0.00028044456908647513
30,5.333335703704758e-05,0.0001631111836049705,0.00010088893372841498,5.02222445432198e-05,0.001232000547555799,2.8000012444449974e-05,,0.0002808890137284505,4.088890706173648e-05,0.0009560004248890777,0.00036711127427167746
40,8.62222605432269e-05,0.0002622223387654839,0.00016844451930867526,5.8222248098776934e-05,0.0028333345925931524,4.000001777778568e-05,,0.0003137779172346299,4.000001777778568e-05,0.0007582225592100263,0.0004400001955556425
50,8.266670340742374e-05,0.0008084448037532461,0.0002520001120000498,5.466669096297376e-05,0.020604453601979378,6.355558380248168e-05,,0.00047555576691367423,3.688890528395791e-05,0.0007475558878026168,0.0005044446686420749
60,0.0001133333837037261,0.0006462225094322264,0.0004244446330865036,7.5111144493842e-05,0.020996009331559703,8.177781412347294e-05,,0.0006475558433581526,5.866669274075233e-05,0.0008075559144692954,0.0006017780452346867
70,0.0001271111676049634,0.0009017781785680794,0.0005422224632099837,0.00010444449086421816,0.024328455257091226,9.244448553088245e-05,,0.0008551114911606628,8.311114804939914e-05,0.0010724449210866318,0.0013404450401977956
80,0.0001506667336296594,0.0012048894243952997,0.0006626669611853161,9.644448730866103e-05,0.028611123827166147,0.00010711115871607054,,0.0011342227263212116,6.355558380248168e-05,0.0008657781625680723,0.0007617781163458295
90,0.00016933340859262604,0.00153600068266697,0.0008768892786174572,0.00010533338014816895,0.0334964593317597,0.0001368889497284221,,0.0014386673060743582,7.60000337777928e-05,0.0012875561278027235,0.0008275559233581882
100,0.00019111119604942045,0.0019177786301238355,0.0011462227316545474,0.00013155561402471735,0.04221957431981081,0.00016577785145682286,,0.0017342229929879968,9.866671051853801e-05,0.0011266671674076297,0.000931555969580431
110,0.00047511132227169876,0.0027186678749635,0.001170667186963194,0.00015244451219756098,0.049943133308059245,0.00019333341925929746,,0.0020915564851362155,0.00011111116049384911,0.00102044489797551,0.0009795559909137736
120,0.00023066676918523076,0.003415112628938946,0.001374667277629901,0.00016044451575311812,0.05868402608178937,0.00022133343170374742,,0.0025404455735313657,0.00011066671585187371,0.0011057782692347861,0.00107644492286441
130,0.0002528890012840006,0.004369335275260122,0.001591111818271919,0.00016711118538274906,0.06897780843458153,0.000248888999506222,,0.0029555568691363864,0.0001613334050370689,0.0010480004657779849,0.001123556054913802
140,0.0003013334672593188,0.004506224224988544,0.0018368897052843133,0.00017111118716052763,0.08347292598796711,0.0002986667994074664,,0.0034302237467661095,0.00013022228009879115,0.0012640005617780275,0.0012191116529385124
150,0.00029466679762968784,0.005338224594766487,0.002525334455704203,0.0001844445264197895,0.09762937672416744,0.00040800018133341394,,0.003995557331358814,0.00013022228009879115,0.0013457783759015004,0.0018422230409880181
160,0.0003133334725926545,0.006079558257581447,0.0028764457228647655,0.0001888889728395435,0.11441293973908433,0.0005195557864692384,,0.0046391131729391875,0.00014088895150620066,0.0013075561366916162,0.0018271119231608546
170,0.0003391112618272275,0.006826669700742089,0.003052001356445047,0.00020400009066670697,0.13274450344200153,0.0004088890706173647,,0.005166224518322009,0.00015288895683953637,0.0014217784096792932,0.0019257786336793928
180,0.0003662223849877267,0.007468003319112586,0.01734978548879355,0.0001733334103704046,0.15414451295311685,0.00049333355259269,,0.005853780379457946,0.00011644449619755386,0.0011520005120002274,0.001951556422913966
190,0.00043422241520996234,0.008734226104100492,0.018349341488596217,0.000223111210271649,0.17938585750482558,0.0004822224365433051,,0.006557336247704998,0.0001720000764444784,0.0011973338654817178,0.002152445401086845
200,0.00042177796523465124,0.009718226541434017,0.019507119780942123,0.00025555566913585293,0.20564986917771963,0.0005884447059754249,,0.007399114399606399,0.0001768889675062078,0.0013395561509138448,0.0021853343045930246
210,0.00043688908306181473,0.015767562563361138,0.01831511925116411,0.0002355556602469601,0.23580588258039228,0.0006182224969877764,,0.00810578138034728,0.000197333421037076,0.0017080007591114483,0.01630711835871927
220,0.0004573335365926829,0.014070228475657101,0.01896489731773214,0.0002608890048395577,0.26260633893615065,0.000676000300444578,,0.009044448464199318,0.00020577786923460853,0.001489778439901529,0.01637378505501558
230,0.0006071113809383915,0.015388451283756127,0.01947378643279397,0.0002871112387161061,0.301040133795615,0.0007266669896297731,,0.009917782185680972,0.0002124445388642395,0.0016008896003953778,0.01641911840849707
240,0.0004875557722470099,0.01722889654617624,0.01957423092188041,0.0003355557046914243,0.33507792670130077,0.0008062225805433691,,0.010798671466076208,0.00028000012444449977,0.00167600074488922,0.016921340853929268
250,0.0005071113364939273,0.017953785757238112,0.01999689777639901,0.0002733334548148688,0.3758855003935557,0.0008720003875557278,,0.01189911639960729,0.0002111112049383133,0.001380889502617557,0.01673200743644775
260,0.0005933335970371542,0.019572897587954483,0.02159689848751044,0.0003040001351111712,0.4182788525683789,0.0009537782016792008,,0.012993339108150714,0.0002106667602963379,0.0016755563002472445,0.017514230006324447
270,0.0005644446953087535,0.0197893421285965,0.021300009466670874,0.00037822239032106236,0.4685428749079444,0.0010222226765434117,,0.014099561822027476,0.00028044456908647513,0.001980889769284342,0.016932007525336676
