,binary_search_lcs,brute_force_lcs,dynamic_lcs,dynamic_opt_lcs,exp_search_lcs,functional_lcs,iterative_lcs,recursive_lcs,short_hi_lcs,short_lo_lcs,suffix_search_lcs,suffix_tree_lcs
0,8.296299983540734e-06,3.8518535637867705e-06,2.2222232098769835e-06,4.296298205762168e-06,6.962966057614544e-06,1.3037042831278287e-05,4.296298205762162e-06,1.1851857119343896e-06,4.740742847737563e-06,1.7777785679015853e-06,0.00017274081751443728,9.970374801648057e-05
1,4.44444641975396e-06,4.740742847737561e-06,5.18518748971296e-06,5.037039275721161e-06,1.3185191045270092e-05,3.214816243622034e-05,3.407408921811373e-06,2.962964279835976e-06,8.148151769548942e-06,5.9259285596719566e-06,0.00013807413544035654,8.888892839507927e-05
2,1.362963568724549e-05,5.3333357037047524e-06,2.8148160658441813e-06,6.222224987655546e-06,1.5111117827163477e-05,2.325926959671243e-05,5.1851874897129575e-06,7.111114271606343e-06,1.540741425514708e-05,8.000003555557138e-06,0.00013837043186834007,5.481483917696559e-05
3,1.0962967835393118e-05,8.59259641152433e-06,4.148149991770362e-06,6.9629660576145445e-06,1.5407414255147082e-05,5.481483917696555e-05,5.481483917696554e-06,2.8148160658441773e-05,2.63703820905402e-05,9.333337481483325e-06,0.00014785191756381513,0.00012562968546504541
4,6.370373201647351e-06,1.1111116049384914e-05,9.03704105349973e-06,2.1185194600827224e-05,1.4370376757204476e-05,4.059261063375286e-05,6.370373201647349e-06,0.00016340748003295408,1.4666673185188076e-05,6.962966057614539e-06,8.785189089713673e-05,0.0001619259978930362
5,1.6592599967081475e-05,1.6148155325106067e-05,1.555556246913887e-05,1.2740746403294708e-05,2.1925935670786213e-05,9.60000426666856e-05,6.518521415639145e-06,0.00028429642265026187,3.2888903506179345e-05,9.925930337450516e-06,9.081485517697261e-05,8.311114804939913e-05
6,1.7925933893007654e-05,1.8962971390950244e-05,1.4370376757204481e-05,1.9259267818933836e-05,2.0888898172843626e-05,0.00012859264974488137,9.481485695475119e-06,0.000726815137843765,1.688889639506507e-05,1.3333339259261893e-05,0.00010044448908643962,0.00018444452641978957
7,2.0296305316876443e-05,2.2074083884778022e-05,1.718519282304866e-05,1.022222676543412e-05,2.45926035226386e-05,0.00023733343881486162,7.851855341565333e-06,0.0026445937679676007,5.614817310289177e-05,8.148151769548928e-06,0.00022933343525930456,0.00017377785501237995
8,2.311112138272062e-05,2.577778923457299e-05,1.1851857119343911e-05,3.3481496362146514e-05,2.3555566024696007e-05,0.00021140750136629686,1.0962967835393113e-05,0.015566969881616243,2.2222232098769818e-05,1.5259266041155276e-05,9.881485873252975e-05,0.0001093333819259475
9,3.8074090995892294e-05,3.362964457613833e-05,1.3777783901237292e-05,3.155556958025314e-05,3.244445886420394e-05,0.000203259349596748,1.5111117827163477e-05,0.0585933593748264,5.733335881482615e-05,1.644445175308967e-05,0.0002042963870946905,0.00010755560335804588
10,2.651853030453198e-05,2.296297316872881e-05,3.081482851029416e-05,3.837038742387589e-05,2.8296308872433565e-05,0.0003072593958189907,1.3481487473253692e-05,,7.081484628807986e-05,1.051852319341772e-05,0.00011837042297944722,0.0002585186334156891
11,3.214816243622034e-05,4.2222240987662656e-05,3.985186956379389e-05,5.4370394534990144e-05,1.5407414255147082e-05,0.00017155563180250289,7.11111427160634e-06,,9.614819088067744e-05,1.0074078551442322e-05,0.00028903716549799944,0.00013377783723459436
12,3.64444606419825e-05,6.34074355884899e-05,2.2074083884778005e-05,6.385188023046528e-05,3.570371957202353e-05,0.00039955573313588144,2.192593567078622e-05,,0.00011066671585187372,1.037037497942592e-05,0.00023259269596712415,0.000277629753020631
13,4.05926106337529e-05,3.8518535637867685e-05,6.355558380248167e-05,3.096297672428595e-05,1.8074082106999453e-05,0.0003822223920988408,1.525926604115528e-05,,5.274076418108037e-05,2.8296308872433565e-05,0.00022000009777782127,0.00017674081929221588
14,4.0296314205769274e-05,4.148149991770367e-05,5.896298916873595e-05,7.718521948972719e-05,3.6148164213998905e-05,0.00026666678518523794,9.777782123458719e-06,,8.414818554734175e-05,2.518519637860579e-05,0.00025407418699593503,0.00034459274574492405
15,3.3333348148154736e-05,4.577779812346582e-05,6.666669629630946e-05,3.970372134980207e-05,3.807409099589231e-05,0.0005721484024363273,2.2222232098769828e-05,,9.777782123458722e-05,2.2370380312761617e-05,0.00024400010844449272,0.00017303711394242105
16,3.437038564609732e-05,8.577781590125151e-05,3.629631242799071e-05,4.9925948115236183e-05,4.370372312758065e-05,0.0006472595469301691,1.1111116049384909e-05,,0.0001192593122633981,3.037038386831876e-05,0.0002604445601975822,0.0003478520064527435
17,4.785187311935102e-05,6.0000026666678524e-05,8.53333712592761e-05,0.0001109630122798573,4.177779634568727e-05,0.00039274091529225853,2.1629639242802615e-05,,0.00014770376934982344,2.7111123160499176e-05,0.00016370377646093766,0.00031407421366261333
18,2.7407419588482774e-05,0.00010933338192594748,4.459261241153144e-05,0.00011911116404940625,4.5185205267498625e-05,0.0008362966679837039,1.2592598189302904e-05,,0.00014533339792595462,1.540741425514706e-05,0.0001429630265020858,0.00034711126538278453
19,6.103706416462113e-05,7.822225698766982e-05,0.0001042963426502264,0.00014533339792595457,2.4592603522638597e-05,0.0009678522820084216,3.259260707819573e-05,,0.0001682963710946835,3.170371779424495e-05,0.00014992599255970036,0.00021674083707000168
20,2.770371601646638e-05,0.00013718524615640573,0.00016414822110291302,0.0001635556282469459,4.814816954733463e-05,0.0005874076684774823,3.4222237432105524e-05,,8.59259641152433e-05,3.066668029630236e-05,0.000255555669135853,0.0002300741763292634
21,6.162965702058833e-05,0.00014933339970373322,6.237039809054732e-05,0.00017348155858439642,5.792595167079332e-05,0.0011414819888068096,1.7629637465024052e-05,,0.0002140741692181493,3.8962980279843096e-05,0.0002903704994239256,0.0004968891097284929
22,5.6444469530875365e-05,9.125929981894809e-05,0.0001440000640000284,0.00017940748714406844,6.22222498765555e-05,0.0011228153138438434,3.6888905283957915e-05,,0.00023066676918523076,4.000001777778569e-05,0.00016222229432101958,0.00047851873119351035
23,5.570372846091637e-05,0.00010118523015639857,0.00017244452108645375,9.777782123458723e-05,6.400002844445709e-05,0.0007389632913910927,3.91111284938349e-05,,0.00011185190156380808,2.5037048164613998e-05,0.00030933347081487587,0.0005016298525762307
24,3.3037051720171144e-05,0.00019466675318522358,8.237040697944016e-05,0.00010725930693006236,6.740743736626849e-05,0.002121482424362559,5.748150702881793e-05,,0.00011807412655146368,4.266668562963805e-05,0.0003022223565432698,0.0002856297565761882
25,9.051855874898908e-05,0.00011540745869961123,8.074077662553031e-05,0.00019333341925929751,6.90370677201783e-05,0.000945333753481668,3.555557135803171e-05,,0.00014296302650208597,2.5481492806589406e-05,0.0003749631296132424,0.0002897779065679584
26,9.925930337450521e-05,0.0001247407961810946,0.0002645927101893527,0.00035481497251035817,9.140744803293988e-05,0.0012992598367080738,2.6518530304532e-05,,0.00013437043009056158,6.444447308643249e-05,0.00019866675496300226,0.0005441483899918775
27,6.429632487244066e-05,0.0002160000960000426,0.00020888898172843635,0.00028977790656795847,7.792596055968619e-05,0.001125630129909686,5.866669274075231e-05,,0.00024414825665848436,5.3185208823055764e-05,0.0003604446046420466,0.0005773335899260406
28,8.222225876544836e-05,0.0002776297530206308,0.0002177778745679443,0.00017111118716052766,7.466669985186661e-05,0.0011727412619590785,6.311113916050628e-05,,0.00030562976546508094,2.8148160658441763e-05,0.00019333341925929751,0.00042992611700420127
29,8.933337303705466e-05,0.0001650371103868638,0.00023762973524284526,0.00033111125827167036,8.68148533991941e-05,0.0013149635473912065,3.096297672428594e-05,,0.00022429639598358338,6.400002844445707e-05,0.00036977794212352975,0.0006597039969054807
30,5.0814837399186965e-05,0.0003038519868971795,0.00014562969435393818,0.0001573334032592903,9.525930159672668e-05,0.0022974825025848175,5.614817310289174e-05,,0.00034637052431282556,6.355558380248174e-05,0.00036148164213998916,0.00033822237254327764
31,9.274078195886609e-05,0.00021629639242802634,0.00013066672474076657,0.00038725943137456214,4.75555766913674e-05,0.0014924451077533824,3.4370385646097357e-05,,0.00037229646176139056,6.592595522635046e-05,0.0003623705314239396,0.0006739262254486933
32,9.896300694652157e-05,0.00024770381379428754,0.000290074202995942,0.00018074082106999447,6.607410344034225e-05,0.0020672601780415607,3.65926088559743e-05,,0.0004042964759836188,6.992595700412901e-05,0.0003568890475062433,0.0003748149813992511
